RespondentID,choice,avcycle,avwalk,avhsr,avcar,timecycle,timewalk,accesshsr,waitingtimehsr,transfer,timehsr,timecar,parking,vehind,owncycle,gender,work,visa,age,solo,shared,family,child,primary_caregiver,LAT,LONG,DAUID,mhi,dwell_den,lum,st_den,inter_den,SF_P_ratio,side_den,Shelters_SD,Shelters_D,Shelters_A,Shelters_SA
576001801,2,0,1,1,0,5.82815742,20,3.11,10.23,0,5,100000,0,0,0,0,0,1,21,0,1,0,0,100000,43.254569,-79.922294,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,1,0
576008635,3,0,0,1,1,100000,100000,1,32,0,5,26,0,1,1,1,1,1,23,0,1,0,0,100000,43.261318,-79.907289,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,1,0,0
576023438,4,0,0,1,1,100000,100000,12.42,10.23,3,60,20,1,0,0,0,1,1,25,0,0,1,1,0,43.233687,-79.917192,35250086,7.0041,1121.311935,0.43065,9.703693321,21.02459878,0.239662,21.45650948,0,0,0,0
576032880,2,1,1,1,0,1.457039355,5,3.11,10.23,0,1,100000,0,0,1,0,1,1,21,0,1,0,0,100000,43.260292,-79.913012,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,0,0
576034998,3,0,1,1,0,4.347826087,14.92007105,5,15,1,5,100000,0,0,0,1,0,0,20,0,1,0,0,100000,43.257822,-79.919413,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,0,0
576053324,4,0,0,1,1,100000,100000,10.66,10.23,0,10,5,0,0,0,1,1,1,20,0,0,1,1,0,43.25222,-79.93953,35250964,6.3081,534.6674559,0.455743,13.55660792,15.27621303,0.074477,8.22849688,1,0,0,0
576053639,2,0,1,1,0,1.457039355,5,0,10.23,0,2,100000,0,0,0,0,0,1,21,0,1,0,0,100000,43.260292,-79.913012,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,1,0
576062090,2,0,1,1,0,4.371118065,15,6.21,10.23,0,20,100000,0,0,0,0,1,0,21,0,1,0,0,100000,43.257878,-79.916677,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,1,0,0,0
576064539,2,0,1,1,0,4.371118065,15,1.07,10.23,0,3,100000,0,0,0,1,0,1,23,0,1,0,0,100000,43.261318,-79.907289,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,0,1,0
576071060,1,1,1,1,1,15,100000,18.63,10.23,0,2,2,0,1,1,0,1,1,24,0,1,0,0,100000,43.257705,-79.9222,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,0,0
576071159,2,0,1,1,1,4.371118065,15,12.42,10.23,0,5,3,0,0,0,0,1,1,20,0,1,0,0,100000,43.258146,-79.910796,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,0,0
576074568,3,0,0,1,1,100000,100000,4,15,0,10,5,0,1,1,1,0,1,21,0,1,0,0,100000,43.257822,-79.919413,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,0,0
576092094,3,0,1,1,1,3.105590062,12.42236025,4,5,0,3,1,0,0,0,0,1,1,20,0,1,0,0,100000,43.25845,-79.907797,35250855,4.2154,1391.982183,0.701271,12.87040646,73.07906459,0.199425,6.605343875,0,0,0,0
576094846,3,0,0,1,1,100000,100000,8,30,0,20,12,0,0,1,1,0,1,20,0,0,1,1,0,43.22431,-79.965589,35250065,11.3282,1013.292007,0,14.3524468,41.72378852,0.339851,15.83376653,0,0,1,0
576099696,2,1,1,1,0,2.91407871,10,6.21,10.23,0,1,100000,0,0,1,0,0,1,20,0,1,0,0,100000,43.257934,-79.914077,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,1,0
576110375,3,1,1,1,0,4.347826087,17.39130435,3,12,0,4,100000,0,0,1,0,0,1,23,0,1,0,0,100000,43.262216,-79.90513,35250677,9.358,1818.71805,0.286445,16.18344475,68.81635863,0.38294,35.43306805,0,0,1,0
576117429,3,0,1,1,0,3.105590062,10.65719361,1,7,0,5,100000,0,0,0,1,1,0,23,0,1,0,0,100000,43.257822,-79.919413,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,0,0
576127441,2,1,1,1,1,0.582815742,2,5.33,10.23,0,1,1,0,0,1,1,1,1,19,0,1,0,0,100000,43.257621,-79.924838,35250680,4.8067,488.7095562,0.682357,10.18232626,30.07443422,0.250599,19.88144051,0,0,1,0
576131275,3,0,0,1,1,100000,100000,12,30,2,60,17,0,0,0,0,0,1,20,0,0,1,1,1,43.200079,-79.883224,35250653,7.5566,780.3300087,0.424183,11.13677057,4.256345502,0.113962,9.062364011,1,0,0,0
576198910,2,0,1,1,1,5.82815742,20,12.42,10.23,0,5,25,0,1,0,0,0,1,19,0,1,0,0,100000,43.257878,-79.916677,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,0,1,0
576218668,3,0,0,1,1,100000,100000,3,10,1,20,10,0,0,1,0,1,1,21,0,0,1,1,0,43.264056,-79.865694,35250472,3.7572,1729.001729,0.800419,9.103376103,36.4000364,0.311997,22.18766064,0,1,0,0
576234484,3,0,0,1,1,100000,100000,2,10,0,3,5,0,0,1,1,0,1,23,1,0,0,0,100000,43.258904,-79.90427,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,0,0,0
576243116,2,1,1,0,1,2.91407871,10,0,10.23,100000,100000,1,0,0,1,1,0,1,19,0,1,0,0,100000,43.257648,-79.923876,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,0,0
576273898,2,1,1,1,0,5.82815742,20,1.07,10.23,0,10,100000,0,0,1,1,0,1,20,0,1,0,0,100000,43.252606,-79.930642,35250680,4.8067,488.7095562,0.682357,10.18232626,30.07443422,0.250599,19.88144051,0,0,0,0
576278487,2,1,1,1,0,4.371118065,15,10.66,10.23,0,4,100000,0,0,1,1,0,1,19,0,1,0,0,100000,43.258076,-79.911943,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,1,0
